100	0.04	0.04	0.04	0	0	0.04
200	0.05	0.03	0.03	0	0	0.05
300	0.06	0	0	0	0	0.06
400	0.09	0.02	0.02	0	0	0.09
500	0.09	0.02	0.02	0	0	0.09
600	0.09	0.02	0.02	0	0	0.09
700	0.05	0.02	0.02	0	0	0.05
800	0.04	0.02	0.02	0	0	0.04
900	0.02	0.02	0.02	0	0	0.02
1000	0.05	0.02	0.02	0	0	0.05
1100	0.03	0.02	0.02	0	0	0.03
1200	0.02	0.03	0.03	0	0	0.02
1300	0.02	0.03	0.03	0	0	0.02
1400	0.02	0.02	0.02	0	0	0.02
1500	0.01	0.02	0.02	0	0	0.01
1600	0.01	0.02	0.02	0	0	0.01
1700	0	0.04	0.04	0	0	0
1800	0	0.03	0.03	0	0	0
1900	0	0.02	0.02	0	0	0
2000	0.01	0.02	0.02	0	0	0.01
2100	0.02	0.02	0.02	0	0	0.02
2200	0.02	0.03	0.03	0	0	0.02
2300	0.04	0.03	0.03	0	0	0.04
2400	0.05	0.03	0.03	0	0	0.05
2500	0.03	0.02	0.02	0	0	0.03
2600	0.03	0.01	0.01	0	0	0.03
2700	0.04	0.01	0.01	0	0	0.04
2800	0.02	0.01	0.01	0	0	0.02
2900	0.03	0.02	0.02	0	0	0.03
3000	0.01	0.02	0.02	0	0	0.01
3100	0.02	0	0	0	0	0.02
3200	0.02	0	0	0	0	0.02
3300	0.03	0.01	0.01	0	0	0.03
3400	0.02	0.03	0.03	0	0	0.02
3500	0	0.03	0.03	0	0	0
3600	0.01	0.03	0.03	0	0	0.01
3700	0.03	0.02	0.02	0	0	0.03
3800	0.03	0.03	0.03	0	0	0.03
3900	0.02	0.03	0.03	0	0	0.02
4000	0.01	0.03	0.03	0	0	0.01
4100	0.03	0.03	0.03	0	0	0.03
4200	0.03	0.03	0.03	0	0	0.03
4300	0.03	0.02	0.02	0	0	0.03
4400	0.04	0.02	0.02	0	0	0.04
4500	0.05	0.02	0.02	0	0	0.05
4600	0.05	0.03	0.03	0	0	0.05
4700	0.04	0.03	0.03	0	0	0.04
4800	0.03	0.03	0.03	0	0	0.03
4900	0.01	0.02	0.02	0	0	0.01
